date,logEntry
"26 July 2022","Updated the website with reports on the two new wrecks discovered this month. The <a href="https://www.buchandivers.com/wrecks/kathleen">SS Kathleen</a> and the WW2 armed trawler, <a href="https://www.buchandivers.com/wrecks/fort-royal">HMT Fort Royal</a>."
"22 July 2022","We dived the westerly mark of a group of three wrecks 8 miles off Balmedie. A great dive in super visibility. We found the remains of an armed trawler and are working on her identification. More soon."
"21 July 2022","We returned to the unknown wreck referred to as the 33 Fathom to make a further attempt at identification. We did not find anything definitive on our dive but have a much more detailed understanding of her structure and cargo now, which will help another attempt to identify her."
"19 July 2022","We have positively identified the wreck first dived on 14 July as the <a href="https://www.buchandivers.com/wrecks/crisabelle-stephen">Crisabelle Stephen</a> and have added this to the website. We also returned to the Hydrographic Office mark dived on 15th July and retrieved the ship's bell which identified her as the SS Kathleen, lost at sea with all crew in January 1914"
"15 July 2022","It's been an excruciatingly slow start to the season! A combination of boat problems, poor weather and other holidays meant that we started late. However, in the last couple of days we have dived two new marks off of the river Ythan, the 24 Fathom mark and a Hydrographic Office mark in 74m. Lovely wrecks, we are in the process of assessing all the information we collected on the dive in an attempt to name them. More soon."
"2 September 2021","We have a confirmed find of the <a href="https://www.buchandivers.com/wrecks/u-77">U 77</a>. Very exciting! After weeks lost to diving through poor weather and now boat problems, we managed to get out on a mark and took video footage from the surface. This footage confirms the wreck of a submarine lying 100m below us. From research conducted by Kevin Heath and Michael Lowrey, this can only be the U 77 lost in 1916."
"25 July 2021","The weather has not been kind to us in the last week. Great sea conditions, but fog and mist every day has made diving impossible. On the only diveable day, we attempted to dive the "Knock Wreck" to try to find more clues to her identity but strong spring tides made that impossible. However, today was perfect, glassy seas and sun! We dived the <a href="https://www.buchandivers.com/wrecks/taylor">Taylor</a>. A lovely small, but very intact steamer. We have new photos on the wreck page."
"20 July 2021","Perfect conditions for the long trip south to dive "Hunks Big Wreck" which we have long suspected to be the Trevorian. A lovely dive, no absolute positive ID but number and design of boilers, plus size of wreck makes it highly likely that she is the <a href="https://www.buchandivers.com/wrecks/trevorian">Trevorian</a>."
"2 July 2021","An exciting trip to a new mark from the hydrographic survey. A "steamship" in 70m, rising 8m from seabed, 60m long. Very excited to see what it was. We arrived in perfect glassy seas to have a wonderful dive on a rock reef! Not another wreck to add to our list."
"24 June 2021","A long trip south to dive the unidentified "33-Fathom" for further exploration. Unfortunately our shot was off the wreck and we were unable to find it in the poor visibility in this area."
"23 June 2021","A lovely dive on the <a href="https://www.buchandivers.com/wrecks/windward-ho">Windward Ho</a> I had forgotten just how intact she is. Her bows are intact and her hull has a good 3-4m height here."
"18 June 2021","Dived the <a href="https://www.buchandivers.com/wrecks/sofie-bakke">Sofie Bakke</a> for the first time in many years. A grand old lady who hasn't changed much in the interval. We mainly dived around her massive diesel engines. Some new photos on the page."
"17 June 2021","We returned to the <a href="https://www.buchandivers.com/wrecks/st-fergus">St Fergus</a> for further exploration. She is not broken in two as previously thought, however significant damage to bow area. Updates on the page."
"5/6 June 2021","Bad weather and equipment failures over last couple of weeks kept us from visiting the <a href="https://www.buchandivers.com/wrecks/st-fergus">St Fergus</a> again, however we managed to get in on the <a href="https://www.buchandivers.com/wrecks/simonburn">SS Simonburn</a> and the lovely <a href="https://www.buchandivers.com/wrecks/muriel">SS Muriel</a>. Super dives, but the season has had a typically weather interrupted start!"
"17/18 May 2021","Dived <a href="https://www.buchandivers.com/wrecks/cairnmona">SS Cairnmona</a> and <a href="https://www.buchandivers.com/wrecks/flotta">HMS Flotta</a> in fantastic visibility. Pages have been updated with new pictures by Naomi Watson."
"22 April 2021","Diving has restarted for this year with a work-up dive on the <a href="https://www.buchandivers.com/wrecks/cairnmona">SS Cairnmona</a>. We dived in the area of the bridge and found a lovely telegraph, the helm and lots of port-holes."
"11 April 2021","Sounded a new mark in 103m north of Fraserburgh. We think this will be a very special wreck and are working up to dive it and confirm its identity later in the season."
"11 September 2020","We explored a new wreck in 75m, 5 miles east of Rattray Head, we believe her to be the <a href="https://www.buchandivers.com/wrecks/st-fergus">St Fergus</a> but we will need to revisit her for further confirmation."
